gen,400#121,400#154,400#142,400#49,400#66,400#8,400#127,400#84,400#145,400#148,400#96,400#170,400#19,400#135,400#3,398#163,400#114,400#162,400#88,400#168,400#9,400#101,399#37,399#157,400#80,400#118,400#11,400#122,400#24,400#153,400#65,400#7,400#132,400#134,400#58,400#15,400#20,400#23,400#75,400#91,400#136,400#144,400#5,400#53,400#107,400#156,400#119,400#124,400#27,400#40,400#67,400#87,400#103,400#111,400#36,399#72,400#64,400#70,400#104,400#110,399#73,400#18,400#35,400#47,400#83,400#100,400#180,400#44,400#2,400#4,400#77,400#81,400#89,400#139,400#141,400#173,400#174,399#175,399#90,400#29,400#38,400#86,400#133,400#146,400#147,400#78,400#69,400#85,400#14,400#72,400#171,400#30,400#46,400#63,400#149,400#31,400#131,400#165,400#98,400#105,400#113,399#144,399#131,400#41,400#61,400#120,400#126,399#168,400#43,400#62,400#74,400#108,399#141,400#25,400#34,400#95,400#166,400#175,400#152,400#52,400#93,400#48,400#56,400#143,400#123,400#10,400#32,400#129,400#6,400#106,400#59,400#50,400#54,400#169,400#16,400#73,400#112,399#121,400#28,400#76,400#138,399#154,400#12,400#90,400#21,400#82,400#102,400#125,399#145,399#95,400#33,400#79,400#164,400#167,400#1,400#22,400#37,400#117,400#140,400#158,400#163,400#178,400#13,400#17,400#55,400#71,400#97,400#130,400#57,400#99,400#42,400#45,400#60,400#172,400#137,399#113,400#39,400#68,400#109,400#151,400#157,400#159,400#179,399#97,399#62,400#115,400#116,400#150,400#92,400#128,400#161,400#176,400#26,400#155,399#52,399#105,400#94,400#160,400#51,400#177
400,-1.3444124,-1.345002,-2.0797153,-1.3444124,-1.345002,-1.345002,-1.345002,-1.345002,-2.0797153,-1.345002,-1.3444124,-1.3444124,-2.0797153,-1.345002,-1.345002,-1.345002,-1.345002,-1.345002,-2.0797153,-1.345002,-1.345002,-1.345002,-2.0797153,-0.21234155,-2.0797153,-1.345002,-1.345002,-1.345002,-1.345002,-1.0191715,-0.73927176,-2.0797153,-1.345002,-1.345002,-1.345002,-1.3444124,-2.0797153,-2.0797153,-1.345002,-2.0797153,-1.6455877,-1.345002,-1.345002,-1.345002,-1.345002,-1.3444124,-1.345002,-1.3444124,-1.3444124,-1.3444124,-1.345002,-1.345002,-1.345002,-1.345002,-1.345002,-1.345002,-1.345002,-2.0797153,-1.0191715,-1.345002,-1.345002,-2.0797153,-2.0797153,-1.345002,-2.0797153,-1.345002,-0.73927176,-2.0797153,-1.345002,-1.0191715,-1.3444124,-1.345002,-0.73927176,-1.345002,-1.1810181,-1.345002,-1.3444124,-1.3539687,-1.3444124,-1.345002,-1.345002,-1.3444124,-1.345002,-1.0191715,-1.345002,-1.3444124,-1.345002,-1.3444124,-1.3444124,-1.345002,-1.3444124,-0.73927176,-1.345002,-1.1810181,-0.73927176,-1.345002,-2.0797153,-1.3444124,-1.345002,-0.73927176,-1.0191715,-0.73927176,-1.0191715,-1.345002,-1.345002,-2.0797153,-1.345002,-1.3444124,-2.0797153,-1.345002,-1.3444124,-1.345002,-1.345002,-2.0797153,-0.73927176,-1.3444124,-1.345002,-2.0797153,-1.345002,-2.0797153,-1.0191715,-2.5059369,-1.345002,-2.0797153,-1.345002,-1.345002,-1.345002,-1.0191715,-1.345002,-2.0797153,-2.0797153,-1.345002,-1.345002,-1.345002,-1.345002,-1.345002,-1.345002,-1.345002,-1.3444124,-1.6845642,-1.3444124,-1.3444124,-1.345002,-1.345002,-1.3444124,-1.345002,-1.345002,-1.345002,-2.0797153,-2.0797153,-1.3444124,-1.345002,-1.3444124,-1.345002,-2.0797153,-1.3444124,-1.3444124,-1.3444124,-1.3444124,-1.345002,-2.0797153,-0.73927176,-1.3444124,-1.345002,-1.345002,-2.0797153,-1.345002,-1.345002,-1.345002,-1.3444124,-2.0797153,-1.3444124,-1.345002,-1.345002,-1.345002,-2.0797153,-1.3444124,-1.345002,-1.1810181,-2.0797153,-1.345002,-1.3505865,-1.345002,-1.3444124,-1.0191715,-1.345002,-1.345002,-1.3444124,-1.345002,-1.345002,-1.345002,-1.3444124,-1.0191715,-1.345002,-1.0191715,-1.345002,-1.345002,-1.3539687,-1.345002,-2.0797153
,-0.85753405,-0.3866514,-0.8330812,-1.0934147,-0.25872684,-0.3866514,-0.5757822,-0.25872684,-0.5757822,-0.5757822,-0.85753405,-1.0934147,-0.5757822,-0.25872684,-0.25872684,-0.25872684,-0.8227767,-0.25872684,-0.13806883,-0.25872684,-0.25872684,-0.25872684,-0.5757822,-0.8227767,-0.5757822,-0.25872684,-0.25872684,-0.4559782,-0.25872684,-0.5104955,-0.018086255,-0.5757822,-0.25872684,-0.25872684,-0.25872684,-1.0934147,-0.5757822,-0.13806883,-0.3866514,-0.5757822,-0.8227767,-0.25872684,-0.25872684,-0.25872684,-0.14394277,-1.0934147,-0.8227767,-0.85753405,-1.0934147,-0.85753405,-0.25872684,-0.3866514,-0.25872684,-0.8227767,-0.3866514,-0.4559782,-0.25872684,-0.5757822,-0.5104955,-0.8227767,-0.8227767,-0.5757822,-0.5757822,-0.4559782,-0.13806883,-1.0934147,-0.018086255,-0.13806883,-0.25872684,-0.5104955,-1.0934147,-0.5757822,-0.018086255,-0.25872684,-1.0934147,-0.25872684,-1.0934147,-0.25872684,-1.0934147,-0.8227767,-0.5757822,-1.0934147,-0.25872684,-0.5104955,-0.25872684,-1.0934147,-0.25872684,-0.85753405,-0.85753405,-0.5757822,-1.0934147,-0.018086255,-0.25872684,-1.0934147,-0.018086255,-0.8227767,-0.5757822,-1.0934147,-0.5757822,-0.018086255,-0.5104955,-0.018086255,-0.5104955,-0.25872684,-0.25872684,-0.5757822,-0.25872684,-0.85753405,-0.5757822,-0.25872684,-1.0934147,-0.25872684,-0.4559782,-0.5757822,-0.018086255,-1.0934147,-0.25872684,-0.5757822,-0.8227767,-0.5757822,-0.5104955,-0.5757822,-0.25872684,-0.5757822,-0.25872684,-0.25872684,-0.25872684,-0.5104955,-0.25872684,-0.13806883,-0.5757822,-0.14394277,-0.4559782,-0.4559782,-0.8227767,-0.25872684,-0.25872684,-0.3866514,-0.85753405,-0.13806883,-1.0934147,-1.0934147,-0.25872684,-0.25872684,-1.0934147,-0.25872684,-0.8227767,-0.25872684,-0.5757822,-0.5757822,-1.0934147,-0.25872684,-1.0934147,-0.3866514,-0.8330812,-1.0934147,-0.85753405,-1.0934147,-1.0934147,-0.25872684,-0.5757822,-0.018086255,-1.0934147,-0.8227767,-0.25872684,-0.5757822,-0.25872684,-0.25872684,-0.25872684,0.29913396,-0.5757822,-1.0934147,-0.4559782,-0.8227767,-0.25872684,-0.5757822,-1.0934147,-0.8227767,-1.0934147,-0.5757822,-0.25872684,-0.25872684,-0.25872684,-1.0934147,-0.5104955,-0.25872684,-0.25872684,-1.0934147,-0.5757822,-0.3866514,-0.25872684,-1.0934147,-0.5104955,-0.4559782,-0.5104955,-0.8227767,0.29913396,-0.25872684,-0.25872684,-0.5757822
,1.5953639,1.5262451,1.4019928,1.5953639,1.4019928,1.5262451,1.4019928,1.9477191,1.4019928,1.4019928,1.5953639,1.5953639,1.4019928,1.8200996,1.8200996,1.4019928,1.4019928,1.8200996,1.4019928,1.4693847,1.4019928,1.5262451,1.4019928,1.4019928,1.4931796,1.5262451,1.5953639,1.4019928,1.4019928,1.4019928,0.5200818,1.4019928,1.8200996,1.5262451,1.4019928,1.5953639,1.4019928,1.4019928,1.5262451,1.4931796,1.4019928,1.4019928,1.4019928,1.8200996,1.4019928,1.5953639,1.4019928,1.5953639,1.5953639,1.5953639,1.5262451,1.5262451,1.8200996,1.4019928,1.5262451,1.4019928,1.5262451,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.5953639,0.5200818,1.4019928,1.8200996,1.4019928,1.5953639,1.4019928,0.5200818,1.4693847,1.5953639,1.5868908,1.5953639,1.4019928,1.5953639,1.4019928,1.4019928,1.5953639,1.4019928,1.4019928,1.4019928,1.5953639,1.8200996,1.5953639,1.5953639,1.4019928,1.5953639,0.5200818,1.5262451,1.5953639,0.5200818,1.4019928,1.4019928,1.5953639,1.4019928,0.5200818,1.4019928,0.5200818,1.4019928,1.5262451,1.5868908,1.4019928,1.8200996,1.5953639,1.4019928,1.4019928,1.5953639,1.5262451,1.4019928,1.4931796,0.5200818,1.5953639,1.5262451,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.4693847,1.4931796,1.5868908,1.4019928,1.4693847,1.4019928,1.5117139,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.8200996,1.7679011,1.5262451,1.5953639,1.4019928,1.5953639,1.5953639,1.4019928,1.4019928,1.5953639,1.4693847,1.4019928,1.4019928,1.4019928,1.4019928,1.5953639,1.4019928,1.5953639,1.5262451,1.4019928,1.5953639,1.5953639,1.5953639,1.5953639,1.4693847,1.4019928,0.5200818,1.5953639,1.4019928,1.5262451,1.4019928,1.4019928,1.4019928,1.5262451,1.4019928,1.4019928,1.5953639,1.4019928,1.4019928,1.5262451,1.4019928,1.5953639,1.4019928,1.5953639,1.4019928,1.8200996,1.4019928,1.4693847,1.5953639,1.4019928,1.8200996,1.8200996,1.5953639,1.4019928,1.5262451,1.4019928,1.5953639,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.4019928,1.4931796
,-0.0835399,0.6054567,0.8582161,0.6054567,0.5577635,0.6054567,0.45166057,0.6054567,0.45166057,0.45166057,-0.0835399,0.6054567,0.45166057,1.0441942,1.0441942,0.66573006,0.8582161,1.0441942,0.8582161,0.8582161,0.8582161,1.0441942,0.8582161,0.8582161,0.45166057,0.6054567,0.6054567,0.8582161,0.5577635,0.8582161,0.8582161,1.1766506,1.0441942,0.6054567,0.8582161,0.6054567,0.8582161,0.8582161,0.6054567,0.45166057,0.8582161,0.7373298,0.66573006,1.0441942,0.8582161,0.6054567,0.8582161,-0.0835399,0.6054567,-0.0835399,0.6054567,0.6054567,1.0441942,0.8582161,0.6054567,0.8582161,0.6054567,0.8582161,0.8582161,0.8582161,0.8582161,0.45166057,0.45166057,0.8582161,0.8582161,0.6054567,0.8582161,0.8582161,1.0441942,0.8582161,0.6054567,0.45166057,0.8582161,0.8582161,0.6054567,0.8582161,0.6054567,0.8582161,0.6054567,0.8582161,0.45166057,0.6054567,0.8582161,0.8582161,0.5577635,0.6054567,1.0441942,-0.0835399,-0.0835399,0.45166057,0.6054567,0.8582161,1.0441942,0.6054567,0.8582161,0.8582161,0.45166057,0.6054567,0.45166057,0.8582161,0.8582161,0.8582161,0.8582161,1.0441942,0.8582161,0.8582161,1.0441942,-0.0835399,1.1766506,0.66573006,0.6054567,0.6054567,0.8582161,0.45166057,0.8582161,0.6054567,0.6054567,1.5251008,0.8582161,0.8582161,0.8582161,0.45166057,0.8582161,0.45166057,0.8582161,0.8582161,0.8582161,0.8582161,0.8582161,0.8582161,0.45166057,0.8582161,0.8582161,0.8582161,0.8582161,1.0441942,1.0441942,0.6054567,-0.0835399,0.8582161,0.6054567,0.6054567,0.66573006,0.8582161,0.6054567,0.8582161,0.8582161,0.5577635,0.8582161,0.45166057,0.6054567,0.66573006,0.6054567,0.6054567,0.8582161,0.6054567,-0.0835399,0.6054567,0.6054567,0.8582161,0.8582161,0.8582161,0.6054567,0.8582161,0.6054567,0.8582161,0.8582161,0.66573006,0.6054567,1.0441942,0.8582161,0.6054567,0.8582161,0.8582161,1.0441942,1.1766506,0.6054567,0.8582161,0.6054567,1.1766506,1.0441942,0.5577635,0.8582161,0.6054567,0.8582161,1.0441942,1.0441942,0.6054567,0.45166057,0.6054567,0.5577635,0.6054567,0.8582161,0.8582161,0.8582161,0.8582161,1.0441942,0.8582161,0.8582161,0.45166057
,-2.0182347,-2.0182347,-0.9238603,-2.0182347,-0.9238603,-2.0182347,-0.9238603,-2.0182347,-0.8100862,-0.9238603,-2.0182347,-2.0182347,-0.8100862,-0.44751602,-0.44751602,-0.9238603,-0.44751602,-0.44751602,-0.9238603,-0.9238603,-0.9238603,-0.44751602,-0.9238603,-0.44751602,-0.9238603,-2.0182347,-2.0182347,-0.44751602,-0.9238603,-0.25946295,-0.9238603,-2.0182347,-0.44751602,-2.0182347,-0.9238603,-2.0182347,-0.9238603,-0.9238603,-2.0182347,-0.9238603,-0.44751602,-0.9238603,-0.9238603,-0.44751602,-0.76826364,-2.0182347,-0.44751602,-2.0182347,-2.0182347,-2.0182347,-2.0182347,-2.0182347,-0.44751602,-0.44751602,-2.0182347,-0.44751602,-2.0182347,-0.9238603,-0.25946295,-0.44751602,-0.44751602,-2.0182347,-0.8100862,-0.44751602,-0.9238603,-2.0182347,-0.60691136,-0.9238603,-0.44751602,-0.25946295,-2.0182347,-0.9238603,-0.60691136,-0.9238603,-2.0182347,-1.2524512,-2.0182347,-0.9238603,-2.0182347,-0.56736654,-0.9238603,-2.0182347,-0.9238603,-0.25946295,-0.9238603,-2.0182347,-0.44751602,-2.0182347,-2.0182347,-0.9238603,-2.0182347,-0.9238603,-0.44751602,-2.0182347,-0.9238603,-0.44751602,-0.8100862,-2.0182347,-0.9238603,-0.9238603,-0.25946295,-0.9238603,-0.25946295,-0.44751602,-0.9238603,-0.9238603,-0.44751602,-2.0182347,-2.0182347,-0.9238603,-2.0182347,-2.0182347,-0.44751602,-0.9238603,-0.9238603,-2.0182347,-2.0182347,-2.5912209,-0.44751602,-0.9238603,-0.25946295,-2.0182347,-0.9238603,-0.9238603,-0.9238603,-2.0182347,-0.9238603,-0.25946295,-0.9238603,-0.9238603,-0.8100862,-0.9238603,-0.56015754,-0.44751602,-0.44751602,-0.44751602,-0.44751602,-2.0182347,-2.0182347,-0.9238603,-2.0182347,-2.0182347,-0.9238603,-2.0182347,-2.0182347,-0.9238603,-0.44751602,-1.2048441,-0.9238603,-0.8100862,-2.0182347,-0.9238603,-2.0182347,-2.0182347,-0.9238603,-2.0182347,-2.0182347,-2.0182347,-2.0182347,-0.9238603,-0.9238603,-0.60691136,-2.0182347,-0.44751602,-2.0182347,-0.9238603,-0.9238603,-0.9238603,-2.0182347,-0.44751602,-0.9238603,-2.0182347,-0.44751602,-0.44751602,-0.44751602,-2.0182347,-1.7393363,-0.44751602,-2.0182347,-2.0182347,-0.44751602,-0.9238603,-0.9238603,-2.0182347,-0.25946295,-0.44751602,-0.44751602,-2.0182347,-0.9238603,-2.0182347,-0.9238603,-2.0182347,-0.25946295,-0.56015754,-0.25946295,-0.44751602,-0.44751602,-0.9238603,-0.9238603,-0.9238603
,-0.39249805,-0.17739002,-0.41074175,-0.22896081,-0.41074175,-0.39249805,-1.1270529,-0.39249805,-0.39249805,-1.1270529,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-0.39249805,-0.41074175,-0.41074175,-0.41074175,-0.39249805,-0.41074175,-0.39249805,-0.21060312,-0.39249805,-0.39249805,-0.39249805,-0.41074175,-0.34260046,-1.7656405,-0.39249805,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-0.41074175,-0.41074175,-0.39249805,-0.21060312,-0.39249805,-0.41074175,-0.41074175,-0.39249805,-0.41074175,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.17739002,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.41074175,-0.34260046,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-1.6312076,-0.41074175,-0.39249805,-0.34260046,-0.39249805,-1.1270529,-1.7656405,-0.41074175,-0.39249805,-0.41074175,-0.21060312,-1.4198388,-0.39249805,-0.39249805,-1.1270529,0.023521453,-0.41074175,-0.34260046,-0.41074175,0.023521453,-0.39249805,-0.39249805,-0.39249805,-1.1270529,-0.39249805,-1.7656405,-0.39249805,-0.39249805,-1.7656405,-0.39249805,-0.39249805,-0.39249805,-1.1270529,-1.7656405,-0.34260046,-1.7656405,-0.34260046,-0.39249805,-0.41074175,-0.41074175,-0.39249805,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-0.39249805,-0.39249805,-0.21060312,-1.7656405,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.41074175,-0.34260046,-0.39249805,-0.41074175,-0.21060312,-0.41074175,-0.39249805,-0.41074175,-0.34260046,-0.41074175,-0.41074175,-0.39249805,-0.41074175,-0.9182445,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-0.41074175,-0.41074175,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-0.39249805,0.023521453,-0.39249805,-0.41074175,-0.41074175,-1.7656405,0.023521453,-0.39249805,-0.39249805,-0.41074175,-0.41074175,-0.41074175,-0.39249805,-0.39249805,-0.41074175,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.39249805,-0.41074175,-0.41074175,-0.39249805,-0.34260046,-0.39249805,-0.39249805,-0.39249805,-1.1270529,-0.39249805,-0.41074175,-0.39249805,-0.34260046,-0.9182445,-0.34260046,-0.39249805,-0.39249805,-1.4198388,-0.41074175,-0.21060312
,-0.8347206,-0.94693035,-0.5333823,-0.94693035,-1.2351348,-0.94693035,-0.94693035,-0.94693035,-1.0904315,-0.94693035,0.6185031,-0.94693035,-1.0904315,-0.62913465,-0.62913465,-1.2351348,-0.6523315,-0.62913465,-1.0904315,-0.8416824,-1.2351348,-0.6523315,-0.5333823,-0.6523315,-1.0904315,-0.94693035,-0.94693035,-1.0904315,-1.2351348,-0.6523315,-0.59212667,-0.5553903,-0.62913465,-0.57716995,-1.2351348,-0.02368939,-0.5333823,-1.0904315,-0.94693035,-1.0904315,-0.6523315,-0.57716995,-1.2351348,-0.62913465,-0.57716995,-0.94693035,-0.6523315,-0.94693035,-0.94693035,-0.94693035,-0.3861727,-0.94693035,-0.62913465,-0.6523315,-0.94693035,-1.0904315,-0.94693035,-0.5333823,-0.6523315,-0.6523315,-0.6523315,-0.5553903,-1.0904315,-1.0904315,-1.0904315,-0.94693035,-0.59212667,-1.0904315,-0.62913465,-0.6523315,-0.94693035,-0.94693035,-0.59212667,-0.8416824,-0.94693035,-1.2351348,-1.0904315,-0.9468941,-0.94693035,-0.6523315,-0.4794575,-0.94693035,-0.94693035,-0.6523315,-1.2351348,-0.94693035,-0.62913465,0.6185031,-0.6236619,-0.94693035,-0.94693035,-0.9549675,-1.0904315,-0.94693035,-0.59212667,-0.6523315,-1.0904315,-0.94693035,-0.94693035,-0.59212667,-0.6523315,-0.59212667,-0.6523315,-0.62913465,-1.2351348,-0.5333823,-0.62913465,-0.6236619,-0.5553903,-1.2351348,-0.94693035,-0.94693035,-0.62913465,-1.0904315,-0.59212667,-0.94693035,-0.6523315,-0.5553903,-0.6523315,-0.079583675,-0.6523315,-0.5553903,-0.8416824,-1.0904315,-1.2351348,-0.94693035,-0.8416824,-0.6523315,-1.2351348,-1.0904315,-1.0904315,-0.57716995,-1.0904315,-1.0904315,-0.6523315,-0.62913465,-0.62913465,-0.94693035,-0.6236619,-1.0904315,-0.94693035,-0.94693035,-0.7197825,-0.94693035,-0.94693035,-0.8416824,-0.62913465,-1.2351348,-0.5333823,-1.0904315,-0.94693035,-1.2351348,-0.94693035,-0.94693035,-0.5333823,-0.94693035,-0.6236619,-1.2986375,-0.94693035,-0.8416824,-0.5333823,-0.59212667,-0.94693035,-0.6523315,-0.94693035,-0.5333823,-0.5333823,-1.2351348,-0.94693035,-0.62913465,-0.5333823,-0.94693035,-1.0904315,-0.6523315,-0.62913465,-0.5553903,-0.94693035,-0.6523315,-1.3293644,-0.5553903,-0.62913465,-1.2351348,-0.8416824,-0.94693035,-0.6523315,-0.62913465,-0.62913465,-0.94693035,-0.94693035,-0.94693035,-1.2351348,-0.94693035,-0.6523315,-1.0904315,-0.94693035,-0.6523315,-0.62913465,-0.9468941,-0.57716995,-1.0904315
,-0.050465964,0.46405935,-0.050465964,0.46405935,-0.050465964,0.46405935,-0.050465964,0.46405935,-0.39764923,-0.050465964,-0.050465964,0.46405935,-0.39764923,0.10317898,0.10317898,-0.050465964,-0.29425842,0.10317898,-0.39764923,-0.050465964,-0.050465964,-0.29425842,-0.050465964,-0.29425842,0.4055255,0.46405935,0.46405935,-0.39764923,-0.050465964,0.10317898,-0.050465964,0.46405935,0.10317898,-0.050465964,-0.050465964,0.46405935,-0.050465964,-0.39764923,0.46405935,-0.39764923,-0.29425842,-0.050465964,-0.050465964,0.10317898,-0.050465964,0.46405935,-0.29425842,0.46405935,0.46405935,0.46405935,0.46405935,0.46405935,0.10317898,-0.29425842,0.46405935,-0.39764923,0.46405935,-0.050465964,0.10317898,-0.29425842,-0.29425842,0.46405935,-0.39764923,-0.39764923,-0.39764923,0.46405935,0.46405935,-0.39764923,0.10317898,0.10317898,0.46405935,0.46405935,0.46405935,-0.050465964,0.46405935,-0.050465964,-0.39764923,-0.39764923,0.39376867,-0.29425842,0.46405935,0.46405935,0.46405935,0.10317898,-0.050465964,0.46405935,0.10317898,-0.050465964,-0.050465964,0.46405935,0.46405935,-0.050465964,-0.39764923,0.46405935,-0.050465964,-0.29425842,-0.39764923,0.46405935,0.46405935,-0.050465964,0.10317898,-0.050465964,0.10317898,0.10317898,-0.050465964,-0.050465964,0.10317898,-0.050465964,0.46405935,-0.050465964,0.46405935,0.46405935,0.10317898,0.4055255,-0.050465964,0.46405935,0.10317898,0.46405935,-0.29425842,-0.050465964,0.36727324,0.46405935,-0.050465964,-0.39764923,-0.050465964,0.46405935,-0.050465964,0.10317898,-0.050465964,-0.39764923,-0.39764923,-0.050465964,-0.39764923,-0.39764923,-0.29425842,0.10317898,0.10317898,0.46405935,-0.050465964,-0.39764923,0.46405935,0.46405935,-0.050465964,0.46405935,0.46405935,-0.050465964,0.10317898,-0.050465964,-0.050465964,-0.39764923,0.46405935,-0.050465964,0.46405935,0.46405935,-0.050465964,0.46405935,-0.050465964,0.46405935,0.46405935,-0.050465964,-0.050465964,0.46405935,0.46405935,-0.29425842,0.46405935,-0.050465964,-0.050465964,-0.050465964,0.46405935,0.10317898,-0.050465964,0.46405935,-0.39764923,-0.29425842,0.10317898,0.46405935,0.46405935,-0.29425842,0.46405935,0.46405935,0.10317898,-0.050465964,-0.050465964,0.46405935,0.36727324,0.10317898,0.10317898,0.46405935,-0.050465964,0.46405935,-0.050465964,0.46405935,0.10317898,-0.39764923,0.46405935,-0.29425842,0.4560593,-0.39764923,-0.050465964,-0.39764923
,-1.0287063,-0.002698049,0.68688226,-0.002698049,0.90655553,-0.002698049,-1.3124717,-0.002698049,-0.19519903,-1.3124717,-1.0287063,-0.5801925,-0.19519903,-0.3436467,-0.3436467,0.90655553,-0.3436467,-0.3436467,0.68688226,0.7791062,0.90655553,-0.3436467,0.5111475,-0.3436467,0.6126472,-0.002698049,-0.002698049,-0.025645852,0.90655553,-0.3436467,-1.0287063,-0.002698049,-0.3436467,-1.0287063,0.90655553,-0.002698049,0.68688226,0.68688226,-0.002698049,0.6126472,-0.3436467,-1.0287063,0.90655553,-0.3436467,-1.0287063,-0.002698049,-0.3436467,-0.002698049,-0.002698049,-0.002698049,-0.002698049,-0.002698049,-0.3436467,-0.3436467,-0.002698049,-0.025645852,-0.002698049,0.68688226,-0.3436467,-0.3436467,-0.3436467,-0.002698049,-0.19519903,-0.19519903,0.68688226,-0.002698049,-0.002698049,0.68688226,-0.3436467,-0.3436467,-0.002698049,-0.002698049,-0.002698049,0.7791062,-0.002698049,0.90655553,0.6126472,-0.14287695,-0.002698049,-0.3436467,-0.002698049,-0.002698049,-0.002698049,-0.3436467,0.90655553,-0.002698049,-0.3436467,-1.0287063,-1.0287063,-0.002698049,-0.85166013,-1.0287063,-0.025645852,-0.002698049,-1.0287063,-0.3436467,-0.19519903,-0.002698049,-0.002698049,-1.0287063,-0.3436467,-1.0287063,-0.3436467,-0.3436467,0.90655553,0.68688226,-0.3436467,-1.0287063,-0.002698049,0.90655553,-0.002698049,-0.002698049,-0.3436467,0.6126472,-1.0287063,-0.5801925,-0.27243626,-0.002698049,-0.3436467,0.68688226,-0.3436467,0.010817053,0.7791062,0.6126472,0.90655553,-0.002698049,0.7791062,-0.3436467,0.90655553,0.68688226,-0.19519903,-1.0287063,-0.025645852,-0.025645852,-0.3436467,-0.3436467,-0.3436467,-0.002698049,-1.0287063,0.68688226,-0.002698049,-0.5801925,0.90655553,-0.002698049,-0.002698049,0.7791062,-0.3436467,0.90655553,0.68688226,-0.19519903,-0.002698049,0.90655553,-0.002698049,-0.002698049,0.68688226,-0.002698049,-1.0287063,-0.002698049,-0.002698049,0.7791062,0.68688226,-0.002698049,-0.002698049,-0.3436467,-0.002698049,0.68688226,0.90655553,0.90655553,-0.002698049,-0.3436467,0.68688226,-0.002698049,-0.025645852,-0.3436467,-0.3436467,-0.002698049,-0.002698049,-0.3436467,-0.002698049,-0.002698049,-0.3436467,0.90655553,0.7791062,-0.002698049,-0.3436467,-0.3436467,-0.09907681,-0.002698049,-1.3124717,-0.002698049,0.90655553,-0.002698049,-0.3436467,-0.025645852,-0.002698049,-0.3436467,-0.3436467,-0.14287695,-1.0287063,0.6126472
,2.054937,1.5221131,-0.52998173,1.5221131,-0.37016857,1.5221131,2.054937,1.5221131,-0.52998173,2.054937,2.054937,1.5221131,-0.52998173,1.742903,1.742903,-0.37016857,1.9918816,1.742903,-0.52998173,-0.52998173,-0.37016857,1.9918816,-0.52998173,1.9918816,1.5221131,1.5221131,1.5221131,-0.52998173,-0.37016857,1.742903,1.5221131,1.5221131,1.742903,2.2337253,-0.37016857,1.5221131,-0.52998173,-0.52998173,1.5221131,1.5221131,1.9918816,2.2337253,-0.37016857,1.742903,2.2337253,1.5221131,1.9918816,1.0290494,1.5221131,1.0290494,1.5221131,1.5221131,1.742903,1.9918816,-0.52998173,-0.52998173,1.5221131,-0.52998173,1.742903,1.9918816,1.9918816,1.5221131,-0.52998173,-0.52998173,-0.52998173,1.5221131,2.0654168,-0.52998173,1.742903,1.742903,1.5221131,2.0654168,2.0654168,-0.52998173,1.7545245,-0.37016857,1.5221131,-0.9039993,1.5221131,1.9918816,2.0654168,1.5221131,1.5221131,1.742903,-0.37016857,1.5221131,1.742903,2.054937,2.054937,2.0654168,1.5221131,1.5221131,-0.52998173,1.7545245,1.5221131,1.9918816,-0.52998173,1.5221131,2.0654168,1.5221131,1.742903,1.5221131,1.742903,1.3017375,-0.37016857,-0.52998173,1.742903,2.054937,1.5221131,-0.10030475,1.5221131,1.5221131,1.3017375,1.7898018,1.5221131,1.5221131,1.742903,1.5221131,1.9918816,-0.37016857,1.742903,-0.52998173,-0.52998173,1.5221131,-0.37016857,1.5221131,-0.52998173,1.742903,-0.37016857,-0.52998173,-0.52998173,2.2337253,-0.52998173,-0.52998173,1.9918816,1.742903,1.742903,1.5221131,2.054937,-0.52998173,1.5221131,1.5221131,-0.37016857,1.5221131,1.5221131,-0.52998173,1.3017375,-0.37016857,-0.52998173,-0.52998173,1.5221131,-0.37016857,1.5221131,-0.52998173,-0.52998173,1.5221131,2.054937,1.5221131,1.5221131,-0.52998173,-0.52998173,2.0654168,1.5221131,1.9918816,1.5221131,-0.52998173,-0.0034015477,-0.37016857,1.5221131,-0.52998173,-0.52998173,1.5221131,-0.52998173,1.9918816,1.3017375,1.5221131,1.5221131,1.9918816,1.7545245,1.5221131,1.742903,-0.37016857,-0.52998173,1.5221131,1.742903,1.742903,1.742903,1.5221131,2.054937,-0.52998173,-0.37016857,1.5221131,1.742903,-0.52998173,1.5221131,1.9918816,-0.52998173,-0.9039993,2.2337253,1.5221131
